kind,series,category,x,value,pixel_x,pixel_y,radius,fill,confidence,value_status,x2,y2,stroke,stroke_width
line,Surface reconstruction,visible curve connection,7.5,visible path,205.611,660.756,,none,,raster_supported_connection,226.815,570.364,#2ba3ca,2
point,Surface reconstruction,visible curve marker,12.5,3.337782,248.019,685.569,7,#2ba3ca,0.8441,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,10.0,visible path,226.815,570.364,,none,,raster_supported_connection,248.019,685.569,#2ba3ca,2
point,Surface reconstruction,visible curve marker,15.0,3.322802,269.222,696.842,7,#2ba3ca,0.8527,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,12.5,visible path,248.019,685.569,,none,,raster_supported_connection,269.222,696.842,#2ba3ca,2
point,Surface reconstruction,visible curve marker,17.5,3.30972,290.426,706.686,7,#2ba3ca,0.854,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,15.0,visible path,269.222,696.842,,none,,raster_supported_connection,290.426,706.686,#2ba3ca,2
point,Surface reconstruction,visible curve marker,20.0,3.304018,311.63,710.976,7,#2ba3ca,0.7611,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,17.5,visible path,290.426,706.686,,none,,raster_supported_connection,311.63,710.976,#2ba3ca,2
point,Surface reconstruction,visible curve marker,30.0,3.366278,396.444,664.126,7,#2ba3ca,0.8454,calibrated_raster_trace,,,,
point,Surface reconstruction,visible curve marker,32.5,3.366384,417.648,664.046,7,#2ba3ca,0.856,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,30.0,visible path,396.444,664.126,,none,,raster_supported_connection,417.648,664.046,#2ba3ca,2
point,Surface reconstruction,visible curve marker,35.0,3.405314,438.852,634.751,7,#2ba3ca,0.7,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,32.5,visible path,417.648,664.046,,none,,raster_supported_connection,438.852,634.751,#2ba3ca,2
point,Surface reconstruction,visible curve marker,37.5,3.366131,460.056,664.236,7,#2ba3ca,0.8575,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,35.0,visible path,438.852,634.751,,none,,raster_supported_connection,460.056,664.236,#2ba3ca,2
point,Surface reconstruction,visible curve marker,40.0,3.411315,481.259,630.236,7,#2ba3ca,0.7,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,37.5,visible path,460.056,664.236,,none,,raster_supported_connection,481.259,630.236,#2ba3ca,2
point,Surface reconstruction,visible curve marker,42.5,3.364627,502.463,665.368,7,#2ba3ca,0.724,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,40.0,visible path,481.259,630.236,,none,,raster_supported_connection,502.463,665.368,#2ba3ca,2
point,Surface reconstruction,visible curve marker,45.0,3.384676,523.667,650.281,7,#2ba3ca,0.4614,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,42.5,visible path,502.463,665.368,,none,,raster_supported_connection,523.667,650.281,#2ba3ca,2
point,Surface reconstruction,visible curve marker,47.5,3.408249,544.87,632.543,7,#2ba3ca,0.4943,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,45.0,visible path,523.667,650.281,,none,,raster_supported_connection,544.87,632.543,#2ba3ca,2
point,Surface reconstruction,visible curve marker,50.0,3.412952,566.074,629.003,7,#2ba3ca,0.423,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,47.5,visible path,544.87,632.543,,none,,raster_supported_connection,566.074,629.003,#2ba3ca,2
point,Surface reconstruction,visible curve marker,52.5,3.412069,587.278,629.668,7,#2ba3ca,0.4736,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,50.0,visible path,566.074,629.003,,none,,raster_supported_connection,587.278,629.668,#2ba3ca,2
point,Surface reconstruction,visible curve marker,55.0,3.396292,608.481,641.54,7,#2ba3ca,0.4736,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,52.5,visible path,587.278,629.668,,none,,raster_supported_connection,608.481,641.54,#2ba3ca,2
point,Surface reconstruction,visible curve marker,57.5,3.389557,629.685,646.609,7,#2ba3ca,0.6311,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,55.0,visible path,608.481,641.54,,none,,raster_supported_connection,629.685,646.609,#2ba3ca,2
